"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","6月支払金額","7月繰越残高","新規サイン"
"2025/05/31","イデミツ（アポロステーション）","本人","1回払い","3192","0","3192","3192","0","*"
"2025/05/29","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3147","0","3147","3147","0","*"
"2025/05/20","STEAMGAMES.COM 42595利用国US","本人","1回払い","995","0","995","995","0","*"
"","現地利用額　　　　　　　９９５．０００変換レート　　　１．０００円","","","","","","","",""
"2025/05/17","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","5463","0","5463","5463","0","*"
"2025/05/11","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3717","0","3717","3717","0","*"
"2025/05/03","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","6413","0","6413","6413","0","*"
"2025/04/26","マクドナルド　モバイルオーダー","本人","1回払い","700","0","700","700","0","*"
