"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","5月支払金額","6月繰越残高","新規サイン"
"2024/04/30","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","1390","","","","","*"
"2024/04/29","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","4690","","","","","*"
"","現地利用額　　　　　　４６９０．０００変換レート　　　１．０００円","","","","","","","",""
"2024/04/28","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","710","","","","","*"
"","現地利用額　　　　　　　７１０．０００変換レート　　　１．０００円","","","","","","","",""
"2024/04/23","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","1680","","","","","*"
"","現地利用額　　　　　　１６８０．０００変換レート　　　１．０００円","","","","","","","",""
"2024/04/21","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","2504","","","","","*"
"2024/04/16","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","10920","","","","","*"
"","現地利用額　　　　　１０９２０．０００変換レート　　　１．０００円","","","","","","","",""
"2024/04/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","1340","","","","","*"
"2024/04/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","130","","","","","*"
"2024/04/06","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","1468","","","","","*"
"","現地利用額　　　　　　１４６８．０００変換レート　　　１．０００円","","","","","","","",""
"2024/04/03","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","300","","","","","*"
"2024/04/01","MOBAL NARITA MOBAL N利用国JP","本人","リボ払い","1480","","","","","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
