"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","3月支払金額","4月繰越残高","新規サイン"
"2025/02/27","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","2000","0","2000","2000","0","*"
"","現地利用額　　　　　　２０００．０００変換レート　　　１．０００円","","","","","","","",""
"2025/02/23","ﾗｸﾃﾝﾍﾟｲ ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","1290","0","1290","1290","0","*"
"2025/02/23","ﾗｸﾃﾝﾍﾟｲ ｾﾌﾞﾝｲﾚﾌﾞ","本人","1回払い","2865","0","2865","2865","0","*"
"2025/02/21","ｲﾃﾞﾐﾂ ｱﾎﾟﾛｽﾃ-ｼﾖﾝ","本人","1回払い","3640","0","3640","3640","0","*"
"2025/02/21","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3771","0","3771","3771","0","*"
"2025/02/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1340","0","1340","1340","0","*"
"2025/02/10","PAYPAL *KOBO利用国IE","本人","1回払い","773","0","773","773","0","*"
"","現地利用額　　　　　　　　　３．９９０変換レート　１９３．７３５円","","","","","","","",""
"2025/02/10","ﾃｷｻｽﾊﾝｽﾞ","本人","1回払い","4520","0","4520","4520","0","*"
"2025/02/10","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3604","0","3604","3604","0","*"
"2025/02/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","150","0","150","150","0","*"
"2025/02/06","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","16500","0","16500","16500","0","*"
"","現地利用額　　　　　１６５００．０００変換レート　　　１．０００円","","","","","","","",""
"2025/02/04","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3707","0","3707","3707","0","*"
"2025/02/01","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","1519","0","1519","1519","0","*"
"","現地利用額　　　　　　１５１９．０００変換レート　　　１．０００円","","","","","","","",""
