"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","1月支払金額","2月繰越残高","新規サイン"
"2024/12/31","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","1700","0","1700","1700","0","*"
"","現地利用額　　　　　　１７００．０００変換レート　　　１．０００円","","","","","","","",""
"2024/12/27","PAYPAL *KOBO利用国IE","本人","1回払い","8890","0","8890","8890","0","*"
"","現地利用額　　　　　　　　４３．８９０変換レート　２０２．５５２円","","","","","","","",""
"2024/12/19","ｼﾞｴｲｱ-ﾙﾆｼﾆﾎﾝ","本人","1回払い","13300","0","13300","13300","0","*"
"2024/12/19","ﾗｸﾃﾝﾍﾟｲ ﾌｱﾐﾘ-ﾏ-ﾄ","本人","1回払い","1619","0","1619","1619","0","*"
"2024/12/19","ﾗｸﾃﾝﾍﾟｲ ｾﾌﾞﾝｲﾚﾌﾞ","本人","1回払い","969","0","969","969","0","*"
"2024/12/14","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","1回払い","1005","0","1005","1005","0","*"
"2024/12/14","ﾗｸﾃﾝﾍﾟｲ ﾍｱ ｽﾀｼﾞｵ","本人","1回払い","4000","0","4000","4000","0","*"
"2024/12/14","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3919","0","3919","3919","0","*"
"2024/12/13","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","1回払い","491","0","491","491","0","*"
"2024/12/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1340","0","1340","1340","0","*"
"2024/12/10","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","4736","0","4736","4736","0","*"
"2024/12/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","130","0","130","130","0","*"
"2024/12/07","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","7890","0","7890","7890","0","*"
"2024/12/05","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3311","0","3311","3311","0","*"
"2024/12/01","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","1480","0","1480","1480","0","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
"2024/11/26","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","1604","0","1604","1604","0","*"
