"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","5月支払金額","6月繰越残高","新規サイン"
"2025/04/28","GOOGLE*GOOGLE STORE利用国JP","本人","1回払い","15470","0","15470","15470","0","*"
"","現地利用額　　　　　１５４７０．０００変換レート　　　１．０００円","","","","","","","",""
"2025/04/22","ﾕﾆｸﾛ ｼﾞ-ﾕ- ﾌﾟﾗｽﾃ","本人","1回払い","5470","0","5470","5470","0","*"
"2025/04/19","ﾗｸﾃﾝﾍﾟｲ ﾌﾞｲﾄﾞﾗﾂｸ","本人","1回払い","1657","0","1657","1657","0","*"
"2025/04/16","ｲﾃﾞﾐﾂ ｱﾎﾟﾛｽﾃ-ｼﾖﾝ","本人","1回払い","3948","0","3948","3948","0","*"
"2025/04/16","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","4055","0","4055","4055","0","*"
"2025/04/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1340","0","1340","1340","0","*"
"2025/04/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","150","0","150","150","0","*"
"2025/04/06","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","3098","0","3098","3098","0","*"
"","現地利用額　　　　　　３０９８．０００変換レート　　　１．０００円","","","","","","","",""
"2025/04/06","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","2500","0","2500","2500","0","*"
"","現地利用額　　　　　　２５００．０００変換レート　　　１．０００円","","","","","","","",""
"2025/04/06","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3915","0","3915","3915","0","*"
"2025/04/03","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","3486","0","3486","3486","0","*"
"","現地利用額　　　　　　３４８６．０００変換レート　　　１．０００円","","","","","","","",""
"2025/04/01","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","2004","0","2004","2004","0","*"
"","現地利用額　　　　　　２００４．０００変換レート　　　１．０００円","","","","","","","",""
"2025/03/31","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3310","0","3310","3310","0","*"
