"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","6月支払金額","7月繰越残高","新規サイン"
"2024/05/31","ﾌﾞｲﾄﾞﾗﾂｸﾞﾌｸﾐﾂﾃﾝ","本人","リボ払い","851","","","","","*"
"2024/05/31","ﾊﾞﾛ-ﾌｸﾐﾂﾃﾝ","本人","リボ払い","6515","","","","","*"
"2024/05/25","ﾃｷｻｽﾊﾝｽﾞ ﾅﾝﾄﾃﾝ","本人","リボ払い","4110","","","","","*"
"2024/05/25","ﾛ-ｿﾝ","本人","リボ払い","3258","","","","","*"
"2024/05/21","ﾃﾂｸﾗﾝﾄﾞ ﾅﾝﾄﾃﾝ","本人","リボ払い","4957","","","","","*"
"2024/05/21","ﾛ-ｿﾝ","本人","リボ払い","2993","","","","","*"
"2024/05/20","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","149","","","","","*"
"","現地利用額　　　　　　　１４９．０００変換レート　　　１．０００円","","","","","","","",""
"2024/05/18","ﾛ-ｿﾝ","本人","リボ払い","2680","","","","","*"
"2024/05/18","ｴﾑｴｽｱｲｺﾝﾋﾟﾕｰﾀｼﾞﾔ","本人","リボ払い","20900","","","","","*"
"2024/05/13","ﾆﾂﾎﾟﾝﾕｳﾋﾞﾝ(ｶ","本人","リボ払い","1710","","","","","*"
"2024/05/12","ﾊﾞﾛ-ﾌｸﾐﾂﾃﾝ","本人","リボ払い","8264","","","","","*"
"2024/05/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","1340","","","","","*"
"2024/05/10","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","12192","","","","","*"
"","現地利用額　　　　　１２１９２．０００変換レート　　　１．０００円","","","","","","","",""
"2024/05/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","130","","","","","*"
"2024/05/01","MOBAL NARITA MOBAL N利用国JP","本人","リボ払い","1480","","","","","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
